,id,name,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,beds,price,number_of_reviews,review_scores_rating,geometry,restaurant,nightclub,suppermarket,park,trainstation,busstop,bicycle_rental,city_center,Wijkcode,Wijk,culture_to,public_gre,Safety_ind
48,4187658,Spacious houseboat for family,Centrum-West,52.36957,4.88305,Houseboat,4,3.0,289.0,99,4.8,POINT (120664.6751955614 486973.81355688773),44.02908088638559,517.4442639779198,79.47594867109875,609.7655844596127,1131.848603383838,350.2798467254219,438.6887253278565,763.2033255228691,AC,Grachtengordel-West,19.0,0.0,86.0
49,6735459,Canal View Loft,Centrum-West,52.36894,4.88657,Entire townhouse,2,1.0,185.0,101,4.86,POINT (120903.91714437105 486902.05607348686),49.409898036314296,268.0897688378018,192.0273024298916,753.1512969152183,970.2977095473576,380.12160620179066,284.204259294496,627.0043569576416,AC,Grachtengordel-West,19.0,0.0,86.0
50,11097614,Beautiful & Stylish Amsterdam House,Centrum-West,52.36947,4.88491,Entire rental unit,4,2.0,414.0,105,4.95,POINT (120791.27155791348 486961.80768478266),101.55901395893282,395.0207464356509,106.20464142371566,706.4014805345909,1065.8954313433426,462.2239973899917,329.3235461271892,666.6749083929158,AC,Grachtengordel-West,19.0,0.0,86.0
51,15564639,Beautiful place located right in the centre,Centrum-West,52.37327,4.88363,Private room in rental unit,2,1.0,90.0,169,4.63,POINT (120707.03607214913 487385.21189506655),59.564563646957225,514.2021104289524,70.94563526010101,577.8858940772124,1194.586602020324,90.00919495556309,147.20732534376734,605.0416352088237,AC,Grachtengordel-West,19.0,0.0,86.0
52,18263868,Luxurious private suite City center of Amsterdam,Centrum-West,52.36952,4.88557,Private room in rental unit,2,1.0,233.0,261,4.98,POINT (120836.25882268502 486967.05950404616),87.23311453609047,356.5588098559184,104.55603392754492,747.699409554731,1054.0909374105777,443.8705057964647,288.480709546738,628.7137842252796,AC,Grachtengordel-West,19.0,0.0,86.0
53,18423345,Luxurious private suite City center of Amsterdam,Centrum-West,52.37126,4.88618,Private room in rental unit,2,1.0,211.0,114,4.96,POINT (120879.1407331418 487160.36967531074),101.32481867163176,337.54310393104146,118.79572052122413,860.5355601017138,1001.0529399569408,328.8249174979192,198.3540776241084,484.5529949197677,AC,Grachtengordel-West,19.0,0.0,86.0
54,19339775,Ideal Apartment for discovering Amsterdam!,Centrum-West,52.37156,4.88617,Private room in rental unit,3,2.0,191.0,97,4.87,POINT (120878.69048474912 487193.7532780887),78.42069687337252,330.43158720345275,146.26220800278855,833.0216314194171,1002.073091036888,297.9723591281385,206.7120849468824,470.91637627916725,AC,Grachtengordel-West,19.0,0.0,86.0
55,20178478,Romantic little studio with canal view in centre.,Centrum-West,52.37194,4.88668,Private room in bed and breakfast,2,1.0,144.0,237,4.66,POINT (120913.71398847719 487235.79322041536),33.77842273891741,290.6133191336342,200.393219798308,821.2369989379404,969.4501298691466,278.57982592768684,193.43631123630075,422.9735260305378,AC,Grachtengordel-West,19.0,0.0,86.0
56,24133446,Lovely Van Gogh studio @ Historic city centre,Centrum-West,52.37035,4.88609,Private room in rental unit,2,1.0,131.0,294,4.84,POINT (120872.31150516492 487059.1627514025),19.3422233843841,379.3934782054778,67.12536199834298,827.4559478387123,1012.9098196057124,420.2676021396997,214.380841661696,543.1886948938525,AC,Grachtengordel-West,19.0,0.0,86.0
57,24134953,Starynight Room,Centrum-West,52.37035,4.8861,Private room in rental unit,2,1.0,176.0,209,4.92,POINT (120872.9925334804 487059.15804242424),20.01467604966916,378.88549123704433,67.80228509946139,828.0150156966175,1012.2326428742656,419.6058143236094,213.73861542308643,542.6403159513782,AC,Grachtengordel-West,19.0,0.0,86.0
